,hurst_mean_revert,zscore_entry_long,zscore_entry_short,velocity_epsilon,total_return_pct,final_value,sharpe_ratio,sortino_ratio,calmar_ratio,max_drawdown_pct,num_trades,win_rate_pct,profit_factor,avg_win,avg_loss,expectancy
60,0.45,-3.0,3.0,1.0,0.19,10019.43,2.333,4.114,12.656,0.33,4,50.0,2.17,0.0,0.0,0.0
6,0.35,-3.0,3.0,1.0,0.19,10019.43,2.333,4.114,12.656,0.33,4,50.0,2.17,0.0,0.0,0.0
33,0.4,-3.0,3.0,1.0,0.19,10019.43,2.333,4.114,12.656,0.33,4,50.0,2.17,0.0,0.0,0.0
80,0.45,-2.0,3.0,3.0,1.41,10140.89,2.318,2.983,11.945,2.86,51,72.55,1.25,0.0,0.0,0.0
77,0.45,-2.0,2.5,3.0,1.62,10162.39,2.243,2.955,14.562,2.77,64,71.88,1.24,0.0,0.0,0.0
53,0.4,-2.0,3.0,3.0,1.08,10108.47,2.011,2.588,10.92,2.33,39,74.36,1.28,0.0,0.0,0.0
25,0.35,-2.0,3.0,2.0,0.9,10089.87,2.003,2.498,8.665,2.39,28,71.43,1.29,0.0,0.0,0.0
64,0.45,-2.5,2.0,2.0,1.22,10122.21,1.495,2.059,6.778,4.29,61,62.3,1.32,0.0,0.0,0.0
1,0.35,-3.0,2.0,2.0,1.0,10100.07,1.427,1.972,5.425,4.29,31,54.84,1.43,0.0,0.0,0.0
48,0.4,-2.0,2.5,1.0,0.34,10033.7,1.252,1.738,5.653,1.3,34,64.71,1.13,0.0,0.0,0.0
46,0.4,-2.0,2.0,2.0,0.97,10096.72,1.239,1.646,5.225,4.29,58,63.79,1.19,0.0,0.0,0.0
12,0.35,-2.5,2.5,1.0,0.17,10017.37,1.211,1.61,6.561,0.57,17,70.59,1.22,0.0,0.0,0.0
2,0.35,-3.0,2.0,3.0,0.49,10049.46,0.961,1.297,3.784,2.89,33,57.58,1.16,0.0,0.0,0.0
28,0.4,-3.0,2.0,2.0,0.64,10064.0,0.891,1.231,3.344,4.29,35,57.14,1.24,0.0,0.0,0.0
54,0.45,-3.0,2.0,1.0,0.08,10007.94,0.398,0.574,2.265,0.74,28,53.57,1.05,0.0,0.0,0.0
27,0.4,-3.0,2.0,1.0,0.05,10005.38,0.291,0.423,1.663,0.68,22,50.0,1.04,0.0,0.0,0.0
