time,open,high,low,close,volume
2026-03-30 18:05:00,4517.96,4520.06,4513.2,4517.99,1859
2026-03-30 18:10:00,4518.0,4521.25,4516.05,4518.75,1624
2026-03-30 18:15:00,4518.81,4519.67,4515.64,4519.49,1580
2026-03-30 18:20:00,4519.51,4521.41,4514.7,4515.56,1592
2026-03-30 18:25:00,4515.6,4516.17,4511.58,4513.87,1622
2026-03-30 18:30:00,4513.9,4517.92,4512.49,4513.5,1573
2026-03-30 18:35:00,4513.49,4519.47,4513.43,4513.44,1624
2026-03-30 18:40:00,4513.43,4517.06,4513.12,4515.44,1411
2026-03-30 18:45:00,4515.44,4518.73,4515.4,4517.74,1241
2026-03-30 18:50:00,4517.74,4518.33,4507.05,4507.05,1815
2026-03-30 18:55:00,4506.93,4508.06,4498.42,4499.04,2107
2026-03-30 19:00:00,4498.99,4502.85,4495.37,4500.08,2111
2026-03-30 19:05:00,4500.06,4505.01,4497.79,4499.78,1994
2026-03-30 19:10:00,4499.77,4500.02,4493.5,4497.79,2108
2026-03-30 19:15:00,4497.79,4501.97,4495.62,4495.88,1800
2026-03-30 19:20:00,4495.89,4501.2,4493.06,4498.3,1919
2026-03-30 19:25:00,4498.25,4504.27,4497.1,4501.71,1667
2026-03-30 19:30:00,4501.73,4510.46,4498.16,4508.93,1847
2026-03-30 19:35:00,4508.93,4512.97,4504.18,4505.34,2008
2026-03-30 19:40:00,4505.37,4506.31,4501.57,4504.93,1944
2026-03-30 19:45:00,4504.92,4510.42,4503.93,4507.28,1741
2026-03-30 19:50:00,4507.34,4509.37,4504.64,4505.71,1902
2026-03-30 19:55:00,4505.71,4518.38,4505.71,4513.55,2095
2026-03-30 20:00:00,4513.52,4516.44,4509.24,4509.46,1161
2026-03-30 20:05:00,4509.5,4511.76,4509.09,4509.22,915
2026-03-30 20:10:00,4509.23,4509.31,4505.45,4508.2,1384
2026-03-30 20:15:00,4508.19,4509.99,4507.63,4508.11,922
2026-03-30 20:20:00,4508.11,4508.39,4502.64,4502.99,929
2026-03-30 20:25:00,4502.98,4506.42,4502.16,4505.96,961
2026-03-30 20:30:00,4505.96,4507.01,4503.08,4504.15,794
2026-03-30 20:35:00,4504.16,4504.45,4501.05,4502.41,754
2026-03-30 20:40:00,4502.41,4505.26,4502.26,4503.55,832
2026-03-30 20:45:00,4503.56,4506.42,4502.52,4504.63,893
2026-03-30 20:50:00,4504.64,4508.39,4504.19,4508.13,848
2026-03-30 20:55:00,4508.13,4512.32,4508.12,4512.16,791
2026-03-30 22:00:00,4514.03,4523.88,4513.21,4517.78,1506
2026-03-30 22:05:00,4517.76,4518.01,4509.96,4511.85,823
2026-03-30 22:10:00,4511.85,4515.88,4507.58,4508.59,1159
2026-03-30 22:15:00,4508.6,4512.09,4505.1,4506.35,982
2026-03-30 22:20:00,4506.35,4507.08,4505.67,4506.68,486
2026-03-30 22:25:00,4506.69,4514.8,4502.28,4514.53,1088
2026-03-30 22:30:00,4514.69,4518.95,4511.91,4512.99,945
2026-03-30 22:35:00,4512.94,4513.85,4511.32,4511.62,547
2026-03-30 22:40:00,4511.65,4512.24,4508.35,4508.78,424
2026-03-30 22:45:00,4508.78,4512.67,4508.48,4512.04,744
2026-03-30 22:50:00,4512.04,4513.9,4511.74,4513.01,534
2026-03-30 22:55:00,4513.02,4515.32,4510.93,4510.93,815
2026-03-30 23:00:00,4510.93,4510.93,4498.83,4502.54,1503
2026-03-30 23:05:00,4502.57,4506.79,4494.83,4495.0,1636
2026-03-30 23:10:00,4495.0,4500.03,4492.62,4498.85,1261
2026-03-30 23:15:00,4498.83,4507.38,4498.01,4506.66,1203
2026-03-30 23:20:00,4506.66,4510.17,4505.59,4507.16,1001
2026-03-30 23:25:00,4507.16,4507.16,4504.21,4505.39,956
2026-03-30 23:30:00,4505.39,4508.83,4504.07,4507.05,860
2026-03-30 23:35:00,4507.12,4515.25,4504.3,4511.09,1192
2026-03-30 23:40:00,4511.09,4519.6,4509.68,4518.49,1136
2026-03-30 23:45:00,4518.51,4519.52,4515.05,4518.49,971
2026-03-30 23:50:00,4518.49,4521.0,4513.6,4513.62,1172
2026-03-30 23:55:00,4513.61,4513.82,4507.73,4513.77,1361
2026-03-31 00:00:00,4513.76,4528.26,4510.72,4528.2,2139
2026-03-31 00:05:00,4528.19,4528.22,4519.56,4519.56,1882
2026-03-31 00:10:00,4519.56,4523.29,4514.5,4516.15,1634
2026-03-31 00:15:00,4516.14,4518.34,4495.53,4496.3,2205
2026-03-31 00:20:00,4496.33,4497.98,4482.7,4493.87,2186
2026-03-31 00:25:00,4494.03,4513.6,4490.39,4512.09,2101
2026-03-31 00:30:00,4512.35,4515.89,4506.84,4511.27,1691
2026-03-31 00:35:00,4511.32,4531.32,4511.3,4530.23,2191
2026-03-31 00:40:00,4530.22,4537.21,4524.95,4536.34,2325
2026-03-31 00:45:00,4536.19,4546.98,4535.8,4538.44,2486
2026-03-31 00:50:00,4538.44,4542.53,4535.29,4542.43,2071
2026-03-31 00:55:00,4542.43,4548.15,4539.8,4547.69,2255
2026-03-31 01:00:00,4547.71,4550.72,4540.36,4541.27,2416
2026-03-31 01:05:00,4541.26,4541.63,4532.2,4539.21,2132
2026-03-31 01:10:00,4539.21,4545.4,4533.6,4543.9,2160
2026-03-31 01:15:00,4543.89,4570.5,4543.55,4569.04,2227
2026-03-31 01:20:00,4569.02,4585.46,4565.38,4585.02,2400
2026-03-31 01:25:00,4585.0,4585.77,4575.91,4581.44,2379
